Platos,Cosas,Preparación,User_Rating
"AlmojÃ¡banos â€“ ""S"" shaped corn fritters.3","['court', 'property', 'official']",116,1.5188577617733592
Arroz con camarones y coco â€“ rice with shrimp and coconut milk.,"['part', 'draw', 'real']",25,4.012581442324336
Arroz con pollo4,"['professional', 'ability', 'southern']",19,1.9053144993151991
Arroz con puerco y vegetales5,"['section', 'bit', 'method']",24,3.817114393978751
Arroz verde6,"['loss', 'toward', 'simply']",91,1.7524627086354094
Bistec de higado â€“ liver steak,"['fish', 'reality', 'stock']",101,3.106212684666078
Bistec picado â€“ chopped beefsteak.,"['security', 'once', 'end']",110,1.021121496150172
"Bollos â€“ corn dough wrapped in nahuala palm leaves,7 corn husk or plantain leaves and boiled. There are two main varieties: fresh corn bollos (bollos de maÃ­z nuevo) and dry corn bollos. The dry corn type is sometimes flavored with butter, corn, or stuffed with beef, which is called bollo ""preÃ±ado"" (lit. ""pregnant bollo""). Bollos have been described as a type of tamale.89","['reality', 'quality', 'college']",71,3.078561642875322
Carne entomatada,"['foot', 'should', 'explain']",77,4.453678556941355
"CarimaÃ±ola â€“ similar to an empanada, but made from yuca and stuffed with beef1","['respond', 'thing', 'bad']",50,1.340655571677369
Ceviche â€“ commonly made from corvina and tilapia1,"['know', 'student', 'customer']",49,1.918596276460017
Chorizo con vegetalescitation needed,"['evening', 'before', 'scene']",51,4.900342408511136
Chuletas en salsa de piÃ±a,"['no', 'citizen', 'challenge']",12,3.5650569988963436
"Empanadas â€“ made either from flour or corn, and stuffed with meats and/or vegetables,10 cheese, and sometimes sweet fillings, such as fruit marmalade or manjar blanco (dulce de leche).","['guess', 'production', 'particular']",54,3.111864994974706
"Ensalada de papas â€“ potato salad, called ensalada de feria when beetroot is added.","['lose', 'current', 'party']",50,3.735306953390149
Fried fish,"['letter', 'ten', 'very']",38,2.898196548443984
Gaucho soup4,"['main', 'community', 'north']",61,2.5846767121133376
"Hojaldres/Hojaldras â€“ a type of fry-bread, similar to South American countries, known in other countries as ""blach tostones"".","['meet', 'choice', 'similar']",22,2.9237272423065823
Lengua guisada â€“ stewed beef tongue11,"['across', 'sometimes', 'month']",93,1.1858988441386429
Mondongo a la culona â€“ stewed beef tripe12,"['including', 'situation', 'over']",14,1.338860499184269
Palm tree flower â€“ prepared like spaghetti13,"['be', 'receive', 'box']",66,2.314693875827921
Pernil de puerco al horno â€“ roasted pork leg,"['suddenly', 'camera', 'wife']",44,4.39306564654152
PlÃ¡tano en tentacion â€“ ripe plantain cooked in a sweet syrup.,"['this', 'right', 'report']",73,1.9798175932625672
Ropa vieja14,"['home', 'blood', 'teach']",44,1.239161600372976
SalpicÃ³n de carne15,"['develop', 'recent', 'her']",106,2.444927511401705
Sancocho6,"['attack', 'hit', 'head']",10,3.5539492811360818
Tamal de olla1,"['voice', 'training', 'travel']",42,2.5126969512808524
Tamales4,"['talk', 'fall', 'guy']",74,2.0707406685161875
"Tortillas â€“ these can be around ten to twelve inches in diameter (these are always cooked on a griddle), or smaller, around four inches (most of the time these are fried).","['within', 'set', 'compare']",35,3.4161176982130663
Torrejitas (Pastelitos) de maÃ­z â€“ A fresh corn fritter.,"['do', 'beyond', 'half']",48,3.0531868689329897
Tortilla Changa â€“ a thick tortilla made out of fresh corn.,"['seem', 'bag', 'stuff']",56,2.572578878436171
"Tasajo â€“ dried, sometimes smoked meat,16 usually from beef though the word refers mainly to the mode of curing rather than the type of meat.","['think', 'short', 'law']",62,4.112481772898747
Bocadillo â€“ Hardened square milk candies.17,"['travel', 'east', 'paper']",73,4.31049775199928
Bocado de la reina,"['story', 'never', 'medical']",11,2.5868238061883324
Bolitas de tamarindo â€“ Sugar balls with tamarind fruit.17,"['organization', 'discover', 'organization']",78,4.486404462585359
Cabanga,"['high', 'miss', 'item']",39,1.4496286605578308
Cocadas 1,"['participant', 'item', 'about']",42,3.636933306772226
Cocadas â€“ Coconut rolled candy made from condensed milk.17,"['put', 'hard', 'perform']",63,1.6158131925321175
Dulce de papaya,"['assume', 'campaign', 'personal']",86,2.309527830792168
Flan â€“ Rimmed pastry or sponge base containing a sweet or savoury filling.1,"['prove', 'respond', 'various']",73,1.9900803170478256
GollerÃ­a â€“ sweetened plantain fritter,"['thing', 'by', 'election']",49,4.408119798731526
Huevitos de leche- Balls of milk candy17,"['local', 'choice', 'us']",39,3.6743294629764067
Mamallena,"['phone', 'matter', 'TV']",96,1.4936739657572589
Manjar or manjar blanco1718,"['ago', 'choose', 'late']",53,3.03547175832714
Mazamorra or pesada de nance,"['often', 'control', 'technology']",99,2.872476666794088
Meringue â€“ Whipped eggs and sugar baked.17,"['western', 'seat', 'especially']",85,3.091969159556374
Orejitas â€“ Ear shaped sugar coated flour.17,"['cup', 'apply', 'skin']",32,2.5699958592704357
Queque,"['spend', 'professor', 'trial']",105,4.29077894716458
"Seasonal pineapple â€“ grown in Panama using a hybrid of Hawaiian pineapple, it is very sweet19","['issue', 'perhaps', 'back']",57,1.6129605461829168
Sopa borracha 20,"['hear', 'inside', 'alone']",65,4.506063310174765
Suspiros â€“ Wafers made from flour that release air when you bite.17,"['early', 'if', 'agency']",118,4.252055014799849
Tres leches21,"['stuff', 'mind', 'edge']",32,1.0822507546627782
Beer,"['which', 'who', 'better']",25,3.5386508645666166
Chicha23,"['enter', 'something', 'throughout']",68,2.3292499171237555
Chicheme1,"['color', 'discuss', 'program']",99,3.8458239702355193
Coffee,"['wind', 'else', 'positive']",51,4.078114849939306
"Fresh fruit juices (licuados or jugos naturales) â€“ pineapple, passionfruit, papaya, orange, tree tomato, etc. are prepared by blending fresh fruit and straining; typically heavily sweetened and optionally with condensed milk added","['different', 'more', 'month']",69,3.660241944893173
Malteada â€“ a malted eskimo-like milkshake without ice cream,"['yes', 'main', 'try']",42,1.3519633647789506
Resbaladera,"['marriage', 'security', 'air']",67,2.1380970488053648
Ron ponche24,"['baby', 'exist', 'most']",84,1.7686469178224677
"Saril â€“ a drink containing sorrel sepals, ginger, cinnamon, cloves, sugar, water, and a splash of rum)","['allow', 'south', 'actually']",83,2.135238506609003
Seco Herrerano25,"['war', 'lot', 'wear']",20,4.328942410768224
Achiote â€“ common in Panamanian cuisine13,"['run', 'improve', 'remember']",118,2.4818010638286028
Aji chombo â€“ a hot pepper grown in local regions13,"['shoulder', 'federal', 'by']",64,4.513843759017792
